"","generic","english","brandname","class_indication","searchterm"
"29","perindopriili ja diureetit","perindopril and diuretics","Coprenessa|Coprenessa|Coversyl Comp Novum|Coversyl Comp Novum|Coprenessa|Perindopril/Indapamid Sandoz|Coversyl Comp Novum|Coversyl Comp Novum|Coprenessa|Coversyl Comp Novum|Coprenessa","ACE inhibitor","perindopriili ja diureetit|perindopril and diuretics|coprenessa|coprenessa|coversyl comp novum|coversyl comp novum|coprenessa|perindopril/indapamid sandoz|coversyl comp novum|coversyl comp novum|coprenessa|coversyl comp novum|coprenessa"
"30",NA,"Quinapril","Accupril","ACE inhibitor","quinapril|accupril"
"31","almotriptaani","almotriptan","Almogran|Almogran|Almogran|Almogran|Almotriptan Orifarm|Almotriptan Orifarm|Almotriptan Orifarm",NA,"almotriptaani|almotriptan|almogran|almogran|almogran|almogran|almotriptan orifarm|almotriptan orifarm|almotriptan orifarm"
"32","ramipriili","ramipril","Cardace|Ramipril Ratiopharm|Ramipril Hexal|Ramipril Orion|Ramipril Orion|Ramipril Ratiopharm|Cardace|Cardace|Ramipril Hexal|Ramipril Hexal|Ramipril Hexal|Ramipril Ratiopharm|Ramipril Ratiopharm|Ramipril Hexal|Ramipril Orion|Ramipril Hexal|Ramipril Orion|Cardace|Cardace|Ramipril Hexal","ACE inhibitor","ramipriili|ramipril|cardace|ramipril ratiopharm|ramipril hexal|ramipril orion|ramipril orion|ramipril ratiopharm|cardace|cardace|ramipril hexal|ramipril hexal|ramipril hexal|ramipril ratiopharm|ramipril ratiopharm|ramipril hexal|ramipril orion|ramipril hexal|ramipril orion|cardace|cardace|ramipril hexal"
"33",NA,"Ramipril","Altace|cardace","ACE inhibitor","ramipril|altace|cardace"
"34","alteplaasi","alteplase","Actilyse|Actilyse",NA,"alteplaasi|alteplase|actilyse|actilyse"
"35","ambrisentaani","ambrisentan","Volibris|Volibris|Volibris|Ambrisentan Accord|Volibris|Volibris|Ambrisentan Accord|Volibris",NA,"ambrisentaani|ambrisentan|volibris|volibris|volibris|ambrisentan accord|volibris|volibris|ambrisentan accord|volibris"
"36","ambroksoli","ambroxol","Flavamed|Flavamed|Flavamed|Flavamed|Flavamed|Ambroxol Ratiopharm|Flavamed",NA,"ambroksoli|ambroxol|flavamed|flavamed|flavamed|flavamed|flavamed|ambroxol ratiopharm|flavamed"
"37","perindopriili ja amlodipiini","perindopril and amlodipine","Coveram|Coveram|Perindopril/Amlodipin Krka|Perindopril/Amlodipin Krka|Perindopril/Amlodipin Krka|Coveram|Coveram|Perindopril/Amlodipin Krka|Perindopril/Amlodipin Krka|Coveram|Coveram|Perindopril/Amlodipin Krka|Perindopril/Amlodipin Krka|Coveram|Coveram|Perindopril/Amlodipin Krka","ACE inhibitor","perindopriili ja amlodipiini|perindopril and amlodipine|coveram|coveram|perindopril/amlodipin krka|perindopril/amlodipin krka|perindopril/amlodipin krka|coveram|coveram|perindopril/amlodipin krka|perindopril/amlodipin krka|coveram|coveram|perindopril/amlodipin krka|perindopril/amlodipin krka|coveram|coveram|perindopril/amlodipin krka"
"38",NA,"perindopril, amlodipine","coveram","ACE inhibitor","perindopril, amlodipine|coveram"
"39",NA,"Amphetamine / Dextroamphetamine","Adderall","ADHD","amphetamine / dextroamphetamine|adderall"
"40","atomoksetiini","atomoxetin","Strattera|Strattera|Atomoxetin Orion|Atomoxetine Accord|Atomoxetine Stada|Atomoxetin Orion|Strattera|Strattera|Atomoxetine Accord|Atomoxetin Orion|Atomoxetine Stada|Atomoxetin Orion|Strattera|Strattera|Atomoxetine Stada|Atomoxetine Accord|Atomoxetin Orion|Atomoxetin Orion|Strattera|Strattera|Atomoxetin Orion|Atomoxetine Stada|Atomoxetin Orion|Atomoxetine Accord|Strattera|Atomoxetin Orion|Atomoxetine Accord|Atomoxetine Stada|Atomoxetin Orion|Strattera|Atomoxetine Accord|Atomoxetine Stada|Atomoxetin Orion|Atomoxetine Accord|Strattera","ADHD","atomoksetiini|atomoxetin|strattera|strattera|atomoxetin orion|atomoxetine accord|atomoxetine stada|atomoxetin orion|strattera|strattera|atomoxetine accord|atomoxetin orion|atomoxetine stada|atomoxetin orion|strattera|strattera|atomoxetine stada|atomoxetine accord|atomoxetin orion|atomoxetin orion|strattera|strattera|atomoxetin orion|atomoxetine stada|atomoxetin orion|atomoxetine accord|strattera|atomoxetin orion|atomoxetine accord|atomoxetine stada|atomoxetin orion|strattera|atomoxetine accord|atomoxetine stada|atomoxetin orion|atomoxetine accord|strattera"
"41","amorolfiini","amorolfin","Loceryl|Loceryl|Amorolfin Ratiopharm|Loceryl|Loceryl|Loceryl",NA,"amorolfiini|amorolfin|loceryl|loceryl|amorolfin ratiopharm|loceryl|loceryl|loceryl"
"42",NA,"Atomoxetin","Strattera","ADHD","atomoxetin|strattera"
"43",NA,"Dexmethylphenidate","Focalin","ADHD","dexmethylphenidate|focalin"
"44",NA,"Lisdexamfetamine","Vyvanse","ADHD","lisdexamfetamine|vyvanse"
"45","amfoterisiini","amphotericin","Ambisome Liposomal|AmBisome liposomal|Ambisome Liposomal",NA,"amfoterisiini|amphotericin|ambisome liposomal|ambisome liposomal|ambisome liposomal"
"46",NA,"Methylphenidate","Concerta","ADHD","methylphenidate|concerta"
"47","anagrelidi","anagrelid","Xagrid|Anagrelide Mylan|Anagrelid Avansor|Xagrid|Anagrelide Sandoz|Anagrelide Ratiopharm|Anagrelid Orion|Anagrelide Stada",NA,"anagrelidi|anagrelid|xagrid|anagrelide mylan|anagrelid avansor|xagrid|anagrelide sandoz|anagrelide ratiopharm|anagrelid orion|anagrelide stada"
"48","anastrotsoli","anastrozol","Anastrozole Teva|Anastelb|Arimidex|Anastrozol Sandoz|Anazol",NA,"anastrotsoli|anastrozol|anastrozole teva|anastelb|arimidex|anastrozol sandoz|anazol"
"49","anidulafungiini","anidulafungin","Anidulafungin Stada|Ecalta",NA,"anidulafungiini|anidulafungin|anidulafungin stada|ecalta"
"50","apiksabaani","apixaban","Eliquis|Eliquis|Eliquis|Eliquis|Eliquis",NA,"apiksabaani|apixaban|eliquis|eliquis|eliquis|eliquis|eliquis"
"51","apomorfiini","apomorphin","Dacepton|Dacepton|Dacepton|Apogo Pen|Apogo Pen",NA,"apomorfiini|apomorphin|dacepton|dacepton|dacepton|apogo pen|apogo pen"
"52","apremilasti","apremilasti","Otezla",NA,"apremilasti|apremilasti|otezla"
"53","aprepitantti","aprepitant","Emend|Aprepitant Stada|Emend|Ivemend|Emend|Aprepitant Stada|Aprepitant Stada|Emend|Aprepitant Stada",NA,"aprepitantti|aprepitant|emend|aprepitant stada|emend|ivemend|emend|aprepitant stada|aprepitant stada|emend|aprepitant stada"
"54","argatrobaani","argatroban","Novastan|Novastan",NA,"argatrobaani|argatroban|novastan|novastan"
"55","alfutsosiini","alfuzosin","Alfuzosin Hydrochlorid Ratiopharm|Alfuzosin Hydrochlorid Ratiopharm|Alfuzosin Hydrochlorid Ratiopharm|Alfuzosin Hydrochloride Orion|Alfuzosin Hydrochloride Orion|Xatral Cr|Xatral Cr","alpha blocker","alfutsosiini|alfuzosin|alfuzosin hydrochlorid ratiopharm|alfuzosin hydrochlorid ratiopharm|alfuzosin hydrochlorid ratiopharm|alfuzosin hydrochloride orion|alfuzosin hydrochloride orion|xatral cr|xatral cr"
"56",NA,"Doxazosin","Cardura","alpha blocker","doxazosin|cardura"
"57","arseenitrioksidi","arsenic trioxide","Trisenox|Arsenic Trioxide Accord|Trisenox",NA,"arseenitrioksidi|arsenic trioxide|trisenox|arsenic trioxide accord|trisenox"
"58","artikaiini, yhdistelmävalmisteet","articaine, combination products","Ubistesin|Septocaine|Ultracain D-Suprarenin|Septocaine|Septocaine|Ubistesin Forte|Septocaine Forte",NA,"artikaiini, yhdistelmävalmisteet|articaine, combination products|ubistesin|septocaine|ultracain d-suprarenin|septocaine|septocaine|ubistesin forte|septocaine forte"
"59","keinokyyneleet ja muut luokittelemattomat valmisteet","Artificial tears and other unclassified preparations","Viscotears|Viscotears|Viscotears",NA,"keinokyyneleet ja muut luokittelemattomat valmisteet|artificial tears and other unclassified preparations|viscotears|viscotears|viscotears"
"60",NA,"Terazosin","Hytrin","alpha blocker","terazosin|hytrin"
"61",NA,"Codeine / APAP","Tylenol #3","Analgesic","codeine / apap|tylenol #3"
"62",NA,"Hydrocodone/APAP","Vicodin","Analgesic","hydrocodone/apap|vicodin"
"63","oksikodoni","oxycodon","Oxycontin Depot|Oxycodone Orion|Oxyratio Depot|Oxyratio Depot|Oxycodone Orion|Oxyratio Depot|Oxycontin Depot|Oxycontin Depot|Oxyratio Depot|Oxycodone Orion|Oxyratio Depot|Oxycontin Depot|Oxycontin Depot|Oxyratio Depot|Oxyratio Depot|Oxycontin Depot|Oxycontin Depot|Oxyratio Depot|Oxycontin Depot|Oxycontin Depot|Oxynorm|Oxynorm|Oxyratio|Oxycodone Vitabalans|Oxycodone Stada|Oxycodone Stada|Oxycodone Vitabalans|Oxyratio|Oxynorm|Oxynorm|Oxyratio|Oxycodone Stada|Oxycodone Stada|Oxyratio|Oxycodone Vitabalans|Oxycodone Vitabalans|Oxynorm|Oxynorm|Oxycodone Stada|Oxyratio|Oxycodone Stada|Oxyratio|Oxynorm|Oxycodone Orion","Analgesic","oksikodoni|oxycodon|oxycontin depot|oxycodone orion|oxyratio depot|oxyratio depot|oxycodone orion|oxyratio depot|oxycontin depot|oxycontin depot|oxyratio depot|oxycodone orion|oxyratio depot|oxycontin depot|oxycontin depot|oxyratio depot|oxyratio depot|oxycontin depot|oxycontin depot|oxyratio depot|oxycontin depot|oxycontin depot|oxynorm|oxynorm|oxyratio|oxycodone vitabalans|oxycodone stada|oxycodone stada|oxycodone vitabalans|oxyratio|oxynorm|oxynorm|oxyratio|oxycodone stada|oxycodone stada|oxyratio|oxycodone vitabalans|oxycodone vitabalans|oxynorm|oxynorm|oxycodone stada|oxyratio|oxycodone stada|oxyratio|oxynorm|oxycodone orion"
"64","atetsolitsumabi","atezolizumab","Tecentriq|Tecentriq|Tecentriq",NA,"atetsolitsumabi|atezolizumab|tecentriq|tecentriq|tecentriq"
"65",NA,"Oxycodone","OxyContin","Analgesic","oxycodone|oxycontin"
"66","oksikodoni ja naloksoni","oxycodone and naloxone","Targiniq|Targiniq|Oxycodone/Naloxone Ratiopharm|Tanonalla|Oxycodone/Naloxone Ratiopharm|Tanonalla|Oxycodone/Naloxone Ratiopharm|Tanonalla|Targiniq|Targiniq|Targiniq|Tanonalla|Oxycodone/Naloxone Ratiopharm|Oxycodone/Naloxone Ratiopharm|Tanonalla|Tanonalla|Oxycodone/Naloxone Ratiopharm|Targiniq|Targiniq|Targiniq|Tanonalla|Tanonalla|Oxycodone/Naloxone Ratiopharm|Targiniq|Targiniq|Targiniq|Tanonalla|Targiniq","Analgesic","oksikodoni ja naloksoni|oxycodone and naloxone|targiniq|targiniq|oxycodone/naloxone ratiopharm|tanonalla|oxycodone/naloxone ratiopharm|tanonalla|oxycodone/naloxone ratiopharm|tanonalla|targiniq|targiniq|targiniq|tanonalla|oxycodone/naloxone ratiopharm|oxycodone/naloxone ratiopharm|tanonalla|tanonalla|oxycodone/naloxone ratiopharm|targiniq|targiniq|targiniq|tanonalla|tanonalla|oxycodone/naloxone ratiopharm|targiniq|targiniq|targiniq|tanonalla|targiniq"
"67",NA,"Oxycodone/APAP","Percocet","Analgesic","oxycodone/apap|percocet"
"68","tramadoli","tramadol","Tramadol Vitabalans|Tramal|Tramal|Tramadol Hexal|Tramadol Vitabalans|Tramal|Tramadin|Tramadol Vitabalans|Tramal|Tramadol Krka|Tramal Retard|Dolatramyl|Tradolan Retard|Tradolan Retard|Tradolan Retard|Tramadol Krka|Tramadol Retard Hexal|Tramal Retard|Tramal Retard|Tramal Retard|Tramadol Retard Hexal|Dolatramyl|Tramal Retard|Dolatramyl|Dolatramyl|Tramal Retard|Tradolan Retard|Tradolan Retard|Tramadol Retard Sandoz|Tramal Retard|Tramal Retard|Tramal Retard|Tramadol Retard Sandoz|Tradolan Retard|Tramadol Krka|Tramal Retard|Tramadol Krka|Dolatramyl|Tradolan Retard|Tradolan Retard|Tramadol Krka|Tramal Retard|Tramal Retard|Tramadol Krka|Tramal Retard|Tradolan Retard|Dolatramyl|Tramal|Tramal|Tramal","Analgesic","tramadoli|tramadol|tramadol vitabalans|tramal|tramal|tramadol hexal|tramadol vitabalans|tramal|tramadin|tramadol vitabalans|tramal|tramadol krka|tramal retard|dolatramyl|tradolan retard|tradolan retard|tradolan retard|tramadol krka|tramadol retard hexal|tramal retard|tramal retard|tramal retard|tramadol retard hexal|dolatramyl|tramal retard|dolatramyl|dolatramyl|tramal retard|tradolan retard|tradolan retard|tramadol retard sandoz|tramal retard|tramal retard|tramal retard|tramadol retard sandoz|tradolan retard|tramadol krka|tramal retard|tramadol krka|dolatramyl|tradolan retard|tradolan retard|tramadol krka|tramal retard|tramal retard|tramadol krka|tramal retard|tradolan retard|dolatramyl|tramal|tramal|tramal"
"69",NA,"Tramadol","Ultram|tradolan","Analgesic","tramadol|ultram|tradolan"
"70","atosibaani","atosiban","Atosiban Ever Pharma|Atosiban Sun|Atosiban Accord|Tractocile|Atosiban Sun|Atosiban Ever Pharma|Tractocile",NA,"atosibaani|atosiban|atosiban ever pharma|atosiban sun|atosiban accord|tractocile|atosiban sun|atosiban ever pharma|tractocile"
"71","atropiini","atropin","Atropin|Atropin|Atropin Aguettant",NA,"atropiini|atropin|atropin|atropin|atropin aguettant"
"72","avelumabi","avelumab","Bavencio",NA,"avelumabi|avelumab|bavencio"
"73","aksitinibi","axitinib","Inlyta|Inlyta|Inlyta|Inlyta",NA,"aksitinibi|axitinib|inlyta|inlyta|inlyta|inlyta"
"74","atsasitidiini","azacitidin","Azacitidine Accord|Azacitidine Stada|Vidaza|Vidaza|Azacitidine Mylan",NA,"atsasitidiini|azacitidin|azacitidine accord|azacitidine stada|vidaza|vidaza|azacitidine mylan"
"75","atsatiopriini","Azathioprin","Imurel|Azamun|Imurel|Imurel|Azamun",NA,"atsatiopriini|azathioprin|imurel|azamun|imurel|imurel|azamun"
"76","tramadoli ja parasetamoli","tramadol and paracetamol","Trampalgin|Trampalgin|Tramadol/Paracetamol Krka|Tramadol/Paracetamol Krka|Trampalgin","Analgesic","tramadoli ja parasetamoli|tramadol and paracetamol|trampalgin|trampalgin|tramadol/paracetamol krka|tramadol/paracetamol krka|trampalgin"
"77","kandesartaani","candesartan","Atacand|Candemox|Candexetil|Candesartan Orion|Candemox|Candesartan Actavis|Candexetil|Candemox|Candesartan Krka|Candesartan Orion|Candexetil|Candestad|Kandrozid|Candesartan Krka|Candestad|Atacand|Candexetil|Candestad|Candexetil|Candesartan Actavis|Candesartan Orion|Candemox|Candesartan Krka|Candesartan Actavis|Candexetil|Kandrozid|Candesartan Krka|Kandrozid|Candestad|Candesartan Orion|Candemox|Candemox|Atacand|Candexetil|Candesartan Orion|Kandrozid|Candemox|Kandrozid|Candestad|Candestad|Candexetil|Candesartan Orion|Candemox|Candexetil|Candesartan Krka|Candesartan Actavis|Candemox|Candesartan Krka|Candesartan Actavis|Atacand|Candestad|Candexetil|Candesartan Orion|Candesartan Actavis|Candesartan Krka|Candemox|Candesartan Orion|Candesartan Krka|Candestad|Kandrozid|Candemox|Candexetil","Angiotensin II receptor blockers","kandesartaani|candesartan|atacand|candemox|candexetil|candesartan orion|candemox|candesartan actavis|candexetil|candemox|candesartan krka|candesartan orion|candexetil|candestad|kandrozid|candesartan krka|candestad|atacand|candexetil|candestad|candexetil|candesartan actavis|candesartan orion|candemox|candesartan krka|candesartan actavis|candexetil|kandrozid|candesartan krka|kandrozid|candestad|candesartan orion|candemox|candemox|atacand|candexetil|candesartan orion|kandrozid|candemox|kandrozid|candestad|candestad|candexetil|candesartan orion|candemox|candexetil|candesartan krka|candesartan actavis|candemox|candesartan krka|candesartan actavis|atacand|candestad|candexetil|candesartan orion|candesartan actavis|candesartan krka|candemox|candesartan orion|candesartan krka|candestad|kandrozid|candemox|candexetil"
"78","asitretiini","azitretin","Acitretin Orifarm|Neotigason|Neotigason|Acitretin Orifarm|Acitretin Orifarm|Neotigason|Neotigason",NA,"asitretiini|azitretin|acitretin orifarm|neotigason|neotigason|acitretin orifarm|acitretin orifarm|neotigason|neotigason"
"79",NA,"candesartan","atacand","Angiotensin II receptor blockers","candesartan|atacand"
"80","kandesartaani ja diureetit","candesartan and diuretics","Atacand Plus|Candesartan/Hydrochlorothiazide Krka|Candestad Comp|Candesartan/Hydrochlorothiazide Orion|Candesartan/Hydrochlorothiazide Krka|Candexetil Comp|Candesartan/Hydrochlorothiazide Orion|Candemox Comp|Candemox Comp|Serbeca|Candestad Comp|Serbeca|Candexetil Comp|Candesartan/Hydrochlorothiazide Orion|Candesartan/Hydrochlorothiazide Krka|Candesartan/Hydrochlorothiazide Krka|Candesartan/Hydrochlorothiazide Orion|Candexetil Comp|Candexetil Comp|Atacand Plus|Candexetil Comp|Candesartan/Hydrochlorothiazide Orion|Candesartan/Hydrochlorothiazide Krka|Candesartan/Hydrochlorothiazide Krka|Candexetil Comp|Serbeca|Atacand Plus|Candesartan/Hydrochlorothiazide Orion|Candesartan/Hydrochlorothiazide Krka|Candesartan/Hydrochlorothiazide Krka|Candexetil Comp|Candexetil Comp","Angiotensin II receptor blockers","kandesartaani ja diureetit|candesartan and diuretics|atacand plus|candesartan/hydrochlorothiazide krka|candestad comp|candesartan/hydrochlorothiazide orion|candesartan/hydrochlorothiazide krka|candexetil comp|candesartan/hydrochlorothiazide orion|candemox comp|candemox comp|serbeca|candestad comp|serbeca|candexetil comp|candesartan/hydrochlorothiazide orion|candesartan/hydrochlorothiazide krka|candesartan/hydrochlorothiazide krka|candesartan/hydrochlorothiazide orion|candexetil comp|candexetil comp|atacand plus|candexetil comp|candesartan/hydrochlorothiazide orion|candesartan/hydrochlorothiazide krka|candesartan/hydrochlorothiazide krka|candexetil comp|serbeca|atacand plus|candesartan/hydrochlorothiazide orion|candesartan/hydrochlorothiazide krka|candesartan/hydrochlorothiazide krka|candexetil comp|candexetil comp"
"81","barisitinibi","baricitinib","Olumiant",NA,"barisitinibi|baricitinib|olumiant"
"82","basiliksimabi","basiliximab","Simulect",NA,"basiliksimabi|basiliximab|simulect"
